Date,USDCurrency_Per_EUR,USDCurrency_Per_GBP
1999-01,1.1591,1.6498
1999-02,1.1203,1.6276
1999-03,1.0886,1.6213
1999-04,1.0701,1.6089
1999-05,1.063,1.6154
1999-06,1.0377,1.595
1999-07,1.037,1.5751
1999-08,1.0605,1.6058
1999-09,1.0497,1.6247
1999-10,1.0706,1.6572
1999-11,1.0328,1.6205
1999-12,1.011,1.6132
2000-01,1.0131,1.6404
2000-02,0.9834,1.6
2000-03,0.9643,1.5799
2000-04,0.9449,1.5823
2000-05,0.9059,1.509
2000-06,0.9505,1.5092
2000-07,0.9386,1.5076
2000-08,0.9045,1.4889
2000-09,0.8695,1.4336
2000-10,0.8525,1.4506
2000-11,0.8552,1.4258
2000-12,0.8983,1.4629
2001-01,0.9376,1.4775
2001-02,0.9205,1.4525
2001-03,0.9083,1.4445
2001-04,0.8925,1.4348
2001-05,0.8753,1.4265
2001-06,0.853,1.402
2001-07,0.8615,1.4148
2001-08,0.9014,1.4372
2001-09,0.9114,1.4638
2001-10,0.905,1.4501
2001-11,0.8883,1.4356
2001-12,0.8912,1.4413
2002-01,0.8832,1.4322
2002-02,0.8707,1.4227
2002-03,0.8766,1.423
2002-04,0.886,1.4429
2002-05,0.917,1.4598
2002-06,0.9561,1.4837
2002-07,0.9935,1.5565
2002-08,0.9781,1.5368
2002-09,0.9806,1.5563
2002-10,0.9812,1.5575
2002-11,1.0013,1.5711
2002-12,1.0194,1.5863
2003-01,1.0622,1.6175
2003-02,1.0785,1.6079
2003-03,1.0797,1.5825
2003-04,1.0862,1.5739
2003-05,1.1556,1.6224
2003-06,1.1674,1.6609
2003-07,1.1365,1.6221
2003-08,1.1155,1.5939
2003-09,1.1267,1.6155
2003-10,1.1714,1.6792
2003-11,1.171,1.6897
2003-12,1.2298,1.7516
2004-01,1.2638,1.8255
2004-02,1.264,1.8673
2004-03,1.2261,1.8261
2004-04,1.1989,1.8031
2004-05,1.2,1.786
2004-06,1.2146,1.8279
2004-07,1.2266,1.8438
2004-08,1.2191,1.8203
2004-09,1.2224,1.7937
2004-10,1.2507,1.8077
2004-11,1.2997,1.8607
2004-12,1.3406,1.9286
2005-01,1.3123,1.8797
2005-02,1.3013,1.8871
2005-03,1.3185,1.9043
2005-04,1.2943,1.8961
2005-05,1.2697,1.8559
2005-06,1.2155,1.8177
2005-07,1.2041,1.7507
2005-08,1.2295,1.7944
2005-09,1.2234,1.8064
2005-10,1.2022,1.7651
2005-11,1.1789,1.7349
2005-12,1.1861,1.7458
2006-01,1.2126,1.7686
2006-02,1.194,1.748
2006-03,1.2028,1.7442
2006-04,1.2273,1.768
2006-05,1.2767,1.8687
2006-06,1.2661,1.8435
2006-07,1.2681,1.8443
2006-08,1.281,1.8941
2006-09,1.2722,1.8839
2006-10,1.2617,1.8765
2006-11,1.2888,1.9125
2006-12,1.3205,1.9629
2007-01,1.2993,1.9587
2007-02,1.308,1.9589
2007-03,1.3246,1.9474
2007-04,1.3513,1.9879
2007-05,1.3518,1.9842
2007-06,1.3421,1.9867
2007-07,1.3726,2.0355
2007-08,1.3626,2.011
2007-09,1.391,2.0184
2007-10,1.4233,2.0449
2007-11,1.4683,2.0701
2007-12,1.4559,2.0161
2008-01,1.4728,1.9702
2008-02,1.4759,1.9646
2008-03,1.552,2.0015
2008-04,1.5754,1.9816
2008-05,1.5554,1.965
2008-06,1.5562,1.9664
2008-07,1.5759,1.9888
2008-08,1.4955,1.8865
2008-09,1.4342,1.7973
2008-10,1.3266,1.6862
2008-11,1.2744,1.5327
2008-12,1.3511,1.4854
2009-01,1.3244,1.4462
2009-02,1.2797,1.4422
2009-03,1.305,1.417
2009-04,1.3199,1.4712
2009-05,1.3646,1.5418
2009-06,1.4014,1.6369
2009-07,1.4092,1.6378
2009-08,1.4266,1.6532
2009-09,1.4575,1.6323
2009-10,1.4821,1.6212
2009-11,1.4908,1.6599
2009-12,1.4579,1.6226
2010-01,1.4266,1.6158
2010-02,1.368,1.5618
2010-03,1.357,1.5058
2010-04,1.3417,1.5332
2010-05,1.2563,1.4669
2010-06,1.2223,1.4768
2010-07,1.2811,1.5304
2010-08,1.2903,1.5661
2010-09,1.3103,1.5591
2010-10,1.3901,1.5867
2010-11,1.3654,1.5961
2010-12,1.3221,1.5595
2011-01,1.3371,1.5782
2011-02,1.3656,1.6124
2011-03,1.402,1.6159
2011-04,1.446,1.6379
2011-05,1.4335,1.6332
2011-06,1.4403,1.6219
2011-07,1.4275,1.6158
2011-08,1.4333,1.6356
2011-09,1.3747,1.5771
2011-10,1.3732,1.5768
2011-11,1.3558,1.5806
2011-12,1.3155,1.5587
2012-01,1.291,1.5524
2012-02,1.3238,1.5804
2012-03,1.3208,1.5824
2012-04,1.316,1.6
2012-05,1.2806,1.5924
2012-06,1.2541,1.5556
2012-07,1.2278,1.5593
2012-08,1.2406,1.5722
2012-09,1.2885,1.6126
2012-10,1.2974,1.608
2012-11,1.2837,1.5968
2012-12,1.3119,1.6145
2013-01,1.3304,1.5965
2013-02,1.3347,1.5474
2013-03,1.2953,1.508
2013-04,1.3025,1.5311
2013-05,1.2983,1.5297
2013-06,1.3197,1.5493
2013-07,1.3088,1.5179
2013-08,1.3314,1.5505
2013-09,1.3364,1.5885
2013-10,1.3646,1.6098
2013-11,1.3491,1.61
2013-12,1.3708,1.6383
2014-01,1.3618,1.647
2014-02,1.3665,1.6558
2014-03,1.3828,1.6624
2014-04,1.381,1.6748
2014-05,1.3739,1.6842
2014-06,1.3595,1.6908
2014-07,1.3533,1.7066
2014-08,1.3315,1.67
2014-09,1.2889,1.629
2014-10,1.2677,1.6074
2014-11,1.2473,1.5771
2014-12,1.2329,1.5644
2015-01,1.1615,1.5142
2015-02,1.135,1.5329
2015-03,1.0819,1.4958
2015-04,1.0822,1.4968
2015-05,1.1167,1.5456
2015-06,1.1226,1.5576
2015-07,1.0997,1.556
2015-08,1.1136,1.5578
2015-09,1.1229,1.5338
2015-10,1.1228,1.5343
2015-11,1.0727,1.5194
2015-12,1.0889,1.4981
2016-01,1.0855,1.4392
2016-02,1.1092,1.429
2016-03,1.1134,1.4249
2016-04,1.1346,1.4319
2016-05,1.1312,1.4524
2016-06,1.1232,1.4197
2016-07,1.1055,1.3134
2016-08,1.1207,1.3101
2016-09,1.1218,1.314
2016-10,1.1014,1.233
2016-11,1.0792,1.2432
2016-12,1.0545,1.2483
2017-01,1.0635,1.2367
2017-02,1.065,1.2495
2017-03,1.0691,1.2347
2017-04,1.0714,1.2639
2017-05,1.105,1.2929
2017-06,1.1233,1.281
2017-07,1.153,1.2996
2017-08,1.1813,1.2952
2017-09,1.1913,1.334
2017-10,1.1755,1.3202
2017-11,1.1743,1.3217
2017-12,1.1836,1.3404
2018-01,1.2197,1.3824
2018-02,1.234,1.3961
2018-03,1.2334,1.3976
2018-04,1.227,1.4079
2018-05,1.1823,1.347
2018-06,1.1679,1.3294
2018-07,1.1685,1.3162
2018-08,1.1547,1.2878
2018-09,1.1667,1.3066
2018-10,1.1488,1.3012
2018-11,1.1364,1.29
2018-12,1.138,1.2664
2019-01,1.1418,1.2901
2019-02,1.1349,1.3016
2019-03,1.1296,1.3167
2019-04,1.1234,1.3029
2019-05,1.1187,1.2855
2019-06,1.1295,1.2675
2019-07,1.1211,1.2461
2019-08,1.1129,1.216
2019-09,1.1011,1.2369
2019-10,1.1058,1.2657
2019-11,1.1051,1.2884
2019-12,1.1114,1.3109
2020-01,1.1098,1.3076
2020-02,1.0911,1.2953
2020-03,1.1046,1.2369
2020-04,1.0871,1.242
2020-05,1.0907,1.2302
2020-06,1.1259,1.2523
2020-07,1.1488,1.2701
2020-08,1.1831,1.3143
2020-09,1.1785,1.2947
2020-10,1.1768,1.298
2020-11,1.1826,1.3198
2020-12,1.2168,1.3434
